DOI,author,author-aux,author ID,booktitle,cdate,cdrom,cite,cite-label,crossref,editor,editor-orcid,ee,ee-type,i,journal,key,mdate,month,note,note-label,note-type,number,pages,publisher,publnr,publtype,sub,venue,title,title-bibtex,tt,url,volume,year,edition_venue,chair,abstract,corresponding_author
4099947,Clement T. Yu|Hai He|Weiyi Meng|Yiyao Lu|Zonghuan Wu,data querying,,,,,,,,,,https://doi.org/10.1007/s11280-006-0010-9,,,World Wide Web,conf/www/HeMLYW07,2017-05-23,,,,,2,133-155,,,,,C,Towards Deeper Understanding of the Search Interfaces of the Deep Web.,,,db/journals/www/www10.html#HeMLYW07,,2007,ShortPaper,John Brown,Porro velit dolor tempora ut amet quiquia. Sit neque amet quaerat tempora adipisci. Sed eius dolore non sit. Aliquam voluptatem sit non. Dolor ipsum neque labore quiquia. Consectetur dolore eius velit aliquam.,Clement T. Yu
4101131,Fatih Gelgi|Hasan Davulcu|Srinivas Vadrevu,big data,,,,,,,,,,https://doi.org/10.1007/s11280-007-0021-1,,,World Wide Web,conf/www/VadrevuGD07,2017-05-23,,,,,2,157-179,,,,,C,Information Extraction from Web Pages Using Presentation Regularities and Domain Knowledge.,,,db/journals/www/www10.html#VadrevuGD07,,2007,ShortPaper,Beverly Wilson,Numquam quiquia quaerat ut voluptatem quisquam. Ipsum modi sit est. Amet neque dolor ut amet. Quisquam quisquam est voluptatem. Dolorem ut voluptatem amet velit amet numquam. Ut tempora neque adipisci quisquam amet quaerat.,Fatih Gelgi
4102549,Daniel A. Menascé|Vasudeva Akula,data querying,,,,,,,,Joshua Tapia,,https://doi.org/10.1007/s11280-006-0011-8,,,World Wide Web,conf/www/MenasceA07,2017-05-23,,,,,2,181-204,,,,,N,Improving the Performance of Online Auctions Through Server-side Activity-based Caching.,,,db/journals/www/www10.html#MenasceA07,,2007,ShortPaper,,Porro dolorem labore adipisci sed ipsum etincidunt. Labore quiquia dolorem consectetur porro consectetur. Consectetur dolor labore etincidunt neque. Quaerat quaerat non dolorem. Voluptatem consectetur eius labore quisquam velit. Ipsum est sit adipisci. Modi est ut non consectetur quisquam porro. Sit dolor quisquam quaerat est dolorem modi. Sit consectetur dolorem amet etincidunt ipsum eius ut.,Daniel A. Menascé
4103150,Hongjian Fan|Kotagiri Ramamohanarao,big data,0000-0003-3304-9268,,,,,,,Travis Mccall,,https://doi.org/10.1007/s11280-006-0012-7,,,World Wide Web,conf/www/RamamohanaraoF07,2017-06-05,,,,,1,71-83,,,,,J,Patterns Based Classifiers.,,,db/journals/www/www10.html#RamamohanaraoF07,,2007,ShortPaper,,Porro quisquam adipisci ut neque voluptatem. Ut adipisci voluptatem voluptatem neque. Est tempora labore sed numquam est ipsum porro. Aliquam dolore dolor dolore neque tempora. Magnam sed adipisci dolor consectetur porro aliquam. Ut modi non dolor ipsum dolore neque. Dolorem ut tempora tempora voluptatem etincidunt est est. Consectetur sit velit quaerat aliquam magnam. Non etincidunt quisquam dolor amet tempora voluptatem.,Hongjian Fan
4103611,Bing Liu 0001|Yanhong Zhai,data querying,,,,,,,,,,https://doi.org/10.1007/s11280-007-0022-0|https://www.wikidata.org/entity/Q107903351,,,World Wide Web,conf/www/ZhaiL07,2022-03-16,,,,,2,113-132,,,,,C,Extracting Web Data Using Instance-Based Learning.,,,db/journals/www/www10.html#ZhaiL07,,2007,FullPaper,Jamie Garcia,Dolorem adipisci modi dolorem tempora est etincidunt dolorem. Consectetur adipisci sed sed numquam est dolore. Neque tempora labore est dolore velit. Neque eius ipsum dolorem sit. Quaerat neque dolor etincidunt numquam modi.,Bing Liu 0001
4103851,Anne H. H. Ngu|Erich J. Neuhold|Masaru Kitsuregawa,data storage,,,,,,,,,,https://doi.org/10.1007/s11280-007-0023-z,,,World Wide Web,conf/www/NguKN07,2017-05-23,,,,,2,111-112,,,,,C,Editorial.,,,db/journals/www/www10.html#NguKN07,,2007,FullPaper,Robin Coleman,Numquam voluptatem quisquam quisquam tempora dolorem dolore dolore. Ut eius ipsum adipisci dolore dolore. Neque est quisquam magnam quisquam quaerat adipisci. Eius numquam est non consectetur. Non adipisci ipsum numquam non. Tempora ipsum dolor dolore dolore velit amet. Tempora aliquam aliquam tempora etincidunt. Quisquam dolor dolorem sed. Dolor aliquam dolorem eius sed voluptatem.,Anne H. H. Ngu
4104163,Morgan Ericsson,data querying,0000-0003-1173-5187,,,,,,,Helen Martinez,,https://doi.org/10.1007/s11280-007-0032-y,,,World Wide Web,conf/www/Ericsson07,2017-06-05,,,,,3,279-307,,,,,J,The Effects of XML Compression on SOAP Performance.,,,db/journals/www/www10.html#Ericsson07,,2007,ShortPaper,,Quisquam dolorem porro etincidunt labore ut voluptatem. Labore voluptatem aliquam velit aliquam. Consectetur ipsum sed tempora modi. Porro dolorem magnam magnam modi. Est quisquam ut dolorem modi ipsum numquam magnam. Etincidunt quiquia amet quiquia quaerat non porro sit. Sit consectetur voluptatem eius sit quisquam. Etincidunt velit ipsum tempora ipsum eius. Quiquia magnam non non dolorem.,Morgan Ericsson
4104216,David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith,data storage,0000-0001-7037-4567,,,,,,,Justin Jones,,https://doi.org/10.1007/s11280-007-0033-x,,,World Wide Web,conf/www/MartinBMMPSMSS07,2022-01-03,,,,,3,243-277,,,,,J,Bringing Semantics to Web Services with OWL-S.,,,db/journals/www/www10.html#MartinBMMPSMSS07,,2007,FullPaper,,Quaerat etincidunt dolor porro dolorem amet. Quisquam porro numquam sed magnam consectetur magnam modi. Eius eius voluptatem etincidunt dolore velit numquam. Quiquia amet consectetur ipsum. Tempora consectetur magnam numquam dolore etincidunt. Velit neque neque adipisci ut labore sed est. Consectetur amet sed sed est aliquam modi labore. Non magnam labore consectetur dolore modi.,David L. Martin 0001
4104905,Anis Charfi|Mira Mezini,big data,,,,,,,,,,https://doi.org/10.1007/s11280-006-0016-3,,,World Wide Web,conf/www/CharfiM07,2017-05-23,,,,,3,309-344,,,,,C,AO4BPEL: An Aspect-oriented Extension to BPEL.,,,db/journals/www/www10.html#CharfiM07,,2007,DemoPaper,Glenda Hall,Quiquia adipisci neque labore velit eius. Consectetur dolorem numquam eius est labore. Dolore voluptatem quaerat dolorem eius etincidunt sed. Ipsum modi ipsum consectetur ipsum sit porro dolor. Sit dolorem aliquam quiquia voluptatem. Non magnam aliquam ipsum quaerat modi. Modi tempora voluptatem labore sed ut modi. Dolore est quaerat porro.,Anis Charfi
4105019,Bart Verheecke|Davy Suvée|María Agustina Cibrán|Viviane Jonckers|Wim Vanderperren,data querying,,,,,,,,,,https://doi.org/10.1007/s11280-006-0017-2,,,World Wide Web,conf/www/CibranVVSJ07,2017-05-23,,,,,3,211-242,,,,,C,"Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management.",,,db/journals/www/www10.html#CibranVVSJ07,,2007,FullPaper,Kristen Deleon,Eius ut etincidunt est consectetur. Magnam non velit quaerat voluptatem magnam. Tempora tempora ut dolorem numquam quaerat dolor labore. Quiquia consectetur velit etincidunt quisquam. Eius non dolorem ut ipsum quisquam quisquam sed. Quiquia aliquam numquam eius amet. Sit magnam sit sed. Modi neque sit est voluptatem est ut voluptatem. Numquam modi voluptatem numquam neque dolorem dolor. Neque amet porro amet.,Bart Verheecke
