DOI,AuthorName,Author-orcid,VenueType,Title,YearPublished,PaperType,Abstract,EditorName,ChairName,ConfName,ConfType,JournalName,ReviewerName1,ReviewerName2,ReviewText1,ReviewText2,ReviewDecision1,ReviewDecision2,FinalDecision,Keywords,VolumeNr,IndexNr,Citation_DOI,Area,Affiliation,YearsReviewerExperience1,YearsReviewerExperience2,ManagesProductionProcess,ManagesPanelsContent,Frequency,JournalImpactFactor
4103150,Hongjian Fan|Kotagiri Ramamohanarao,9504838-8-4|338-13845-3,C,Patterns Based Classifiers.,2007,FullPaper,Neque labore quisquam sed. Quisquam dolorem adipisci dolore sit modi tempora. Velit quiquia quaerat velit dolor porro. Quiquia consectetur magnam etincidunt dolore labore dolor. Non non voluptatem voluptatem quisquam magnam non porro. Porro dolor amet dolorem. Etincidunt aliquam quaerat magnam. Dolore ut labore dolore voluptatem etincidunt.,,Fengwei Chen,Intuitive eco-centric product,S,,Andreea Röthig,Carlos Raymundo,Quisquam etincidunt non modi porro.,Consectetur voluptatem dolor porro eius velit.,True,True,True,Event-triggered|Parallelization|Luenberger-type|Vision-Enhanced|Output-feedback,,6252,6700350,data modeling,"Patterson, Hawkins and Wright|Kemp-Bentley",6,5,,False,irregular,
4104163,Morgan Ericsson,13-434843-8,C,The Effects of XML Compression on SOAP Performance.,2007,ShortPaper,Quisquam velit magnam quisquam est. Velit voluptatem sed neque. Modi amet magnam dolore sit. Tempora eius dolore dolor quiquia consectetur. Modi ut dolor voluptatem amet labore velit. Porro porro modi velit.,,Andreea Röthig,Ameliorated local methodology,S,,Ahmed Hussein,Bernardo A. Hernandez Vicente,Aliquam amet est magnam dolor modi dolorem.,Eius neque dolor consectetur sit.,True,True,True,"Event-triggered|Irreducibility,|Representations|Event-triggered|Interconnection",,2697,6698650,big data,"Carey, Scott and Robinson",8,3,,False,biennial,
4104216,David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith,565-06934-4|487-71483-2|89079-074-4|672-75884-6|638-92590-X|19-659981-0|413-41494-1|388-23901-7|458-29880-8,J,Bringing Semantics to Web Services with OWL-S.,2007,ShortPaper,Quaerat consectetur ut ipsum neque sit est dolore. Etincidunt non modi sed sit. Velit eius magnam quiquia velit. Adipisci labore dolor voluptatem quaerat labore. Amet aliquam quaerat modi dolore quaerat ut. Consectetur dolore ipsum numquam aliquam amet porro dolorem. Sit quaerat sit dolorem. Sed numquam non labore quisquam voluptatem. Etincidunt amet quaerat voluptatem ipsum est.,David Montero,,,,Balanced bottom-line software,Algo Carè,Adrien Lebre,Eius quisquam velit porro velit adipisci magnam velit.,Numquam labore modi tempora magnam modi quaerat ipsum.,True,False,False,Safety-critical|data processing|Synchronization|Representations|Knowledge-based,203,,6698517,database,"Smith PLC|Carroll, Price and Dodson|Fisher-Boyd|Wilson, Harmon and Griffith|Perkins and Sons|Richardson, Ryan and Romero|Hooper-Harris|Gonzalez, Goodman and Sampson|Butler Ltd",9,4,True,,,33.14548328161205
4106084,Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine,697-16809-1|608-68731-0|942963-87-X|247-13569-7,J,Event-driven Video Awareness Providing Physical Security.,2007,FullPaper,Non porro quiquia neque aliquam consectetur. Dolore consectetur sit dolore. Quaerat sit ut labore modi etincidunt quaerat. Dolor eius porro etincidunt. Eius consectetur quisquam neque quaerat. Numquam non est magnam tempora tempora quiquia porro. Voluptatem magnam dolorem quaerat.,Jian Wu,,,,Optimized 4thgeneration capacity,Jing Zhou 0002,Jun-ichi Imura,Non porro velit non labore quaerat.,Amet eius dolore quiquia non sed.,True,True,True,Event-triggered|Event-triggered|Coordinate-free|Delay-dependent|Delay-dependent,774,,6702242,data modeling,"Yang, Horton and Simmons|Gardner LLC|Booth, White and Johnson|Carroll-West",8,8,True,,,29.017040673807102
4108256,Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan,7721-7566-X|907953-76-8|389-44767-2|03-558874-1|631-76033-8,J,Efficient Update of Indexes for Dynamically Changing Web Documents.,2007,DemoPaper,Amet non ut porro. Quisquam eius magnam neque sed porro. Dolor adipisci dolore tempora dolorem magnam tempora modi. Quaerat sit quaerat amet porro quaerat modi quaerat. Dolor labore ipsum sed non. Velit adipisci modi adipisci modi etincidunt magnam. Sed quisquam dolore sit aliquam numquam. Neque quiquia numquam etincidunt modi velit. Est ipsum dolor neque quisquam.,Alessandro Bosso,,,,Advanced system-worthy archive,Feng Liu 0014,Kenji Fujimoto,Ipsum magnam est dolore adipisci ipsum quiquia eius.,Ut ipsum aliquam modi.,True,True,True,Event-triggered|Delay-dependent|Safety-critical|Controllability|Vision-Enhanced,750,,6699881,data modeling,"Morgan-Allen|Lynch PLC|Miller PLC|Rich, Williams and Johnson|Reyes, Perez and Johnson",2,6,False,,,25.535138651492183
6237190,Emilio Coppa,7352-8691-7,J,An interactive visualization framework for performance analysis.,2015,DemoPaper,Numquam aliquam aliquam amet quiquia tempora aliquam etincidunt. Etincidunt quaerat sed quiquia magnam est amet. Dolor numquam ut eius amet modi sed ut. Quaerat consectetur quaerat adipisci velit non porro. Sit neque dolore quiquia. Velit non ipsum neque neque. Tempora adipisci sit dolore.,Chengchuan An,,,,Upgradable upward-trending installation,Francisco Periago,Carmen Coll,Velit ut est aliquam.,Voluptatem modi dolor modi non adipisci ipsum.,False,True,False,Coordinate-free|Polynomial-time|Implicit-system|Interconnection|Parallelization,174,,6699540,indexing,Manning Group,5,6,False,,,8.519936457188864
6697269,Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu,267-05194-7|318-48710-2|265-97223-7|571-84681-9|512-33307-4,J,Trust integrated node potential aware routing for WSNs.,2014,ShortPaper,Amet non quisquam quaerat labore eius dolor adipisci. Aliquam numquam eius eius. Voluptatem est etincidunt modi ipsum voluptatem sit consectetur. Voluptatem quiquia quisquam sit est numquam magnam quiquia. Quiquia dolorem ipsum dolorem quaerat neque.,Julian Edward,,,,Ergonomic next generation moderator,Bernard Bonnard,Bai-gen Cai,Numquam labore ut quaerat eius dolore consectetur.,Consectetur etincidunt eius non non magnam.,True,True,True,data querying|Controllability|Synchronization|Coordinate-free|Controllability,344,,6699268,data processing,"Moore Inc|Rogers Group|Berry, Richardson and Brown|Santiago-Stewart|Butler Ltd",9,7,True,,,24.68880557732528
6697270,Anant V. Nimkar|Soumya K. Ghosh 0001,279-77352-X|8380-1168-1,J,An access control model for cloud-based EMR federation.,2014,ShortPaper,Ipsum voluptatem sit voluptatem. Voluptatem etincidunt sit ipsum labore modi velit. Sed labore magnam non numquam. Voluptatem quiquia ipsum dolorem aliquam numquam quisquam. Amet dolorem neque dolorem labore dolore. Sed consectetur consectetur tempora voluptatem.,Antonis-Ioannis G. Vardulakis,,,,Up-sized responsive structure,Xueyang Yang,Hao Yang 0018,Sed eius est porro voluptatem.,Dolorem magnam modi eius etincidunt eius quiquia velit.,False,True,False,Stabilizability|Controllability|data modeling|Edge-Artificial|Controllability,770,,6701274,data querying,"King, Fisher and Wagner|Fitzgerald-Walker",2,7,True,,,6.272492515627293
6697283,Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena,411-61774-7|306-33890-5|03-836837-X,C,Enhanced t-closeness for balancing utility and privacy.,2013,DemoPaper,Ipsum dolor modi velit dolore magnam. Dolor labore dolor porro porro. Modi amet est numquam neque labore magnam. Quisquam velit numquam etincidunt consectetur. Dolor neque labore dolor numquam sit etincidunt consectetur. Magnam eius sit quiquia aliquam neque. Quiquia modi dolorem labore ipsum aliquam amet.,,Ahmed Hussein,Future-proofed object-oriented groupware,W,,Arturo Buscarino,Lele Wang 0012,Ut eius quaerat velit.,Ipsum dolore quiquia ipsum quaerat.,True,True,True,Output-feedback|Stabilizability|Delay-dependent|Representations|Edge-Artificial,,4398,6698811,data querying,"Wilson, Blair and Russell|Bishop, Thomas and Cobb|Poole, Taylor and Beasley",5,9,,False,triennial,
6697285,Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski,203-98054-0|230-90569-1|285-17642-9|08-159502-9|237-17750-2|202-63106-2,J,Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,2013,ShortPaper,Ipsum est quisquam eius etincidunt labore non voluptatem. Modi est sed quiquia. Modi quisquam porro ut dolorem sit. Sed amet neque consectetur porro. Porro dolor eius quiquia voluptatem quisquam consectetur. Aliquam est porro adipisci velit adipisci aliquam quaerat. Magnam quisquam sit aliquam eius. Consectetur porro etincidunt tempora eius non dolore eius. Dolore adipisci dolorem sit quaerat labore numquam porro. Aliquam labore neque etincidunt est quaerat quisquam amet.,Bin Hu 0010,,,,Compatible hybrid benchmark,Wei Wang 0044,Béatrice Bouchou,Labore voluptatem dolore dolore eius quaerat ipsum.,Amet consectetur amet amet velit tempora adipisci.,True,True,True,Single-boundary|data management|Event-triggered|Event-triggered|Event-triggered,150,,6701987,data management,Burns-Trevino|Robles-Conner|Rosario-Brooks|Rivera-Sherman|Rollins PLC|Harrison and Sons,9,8,True,,,3.127616954810619
6697286,Cécile Paris|Sanat Kumar Bista|Surya Nepal|Wanita Sherchan,424-24347-7|498-85297-3|407-17232-3|297-17527-4,J,A trust model-based analysis of social networks.,2013,FullPaper,Sed porro quaerat non quiquia consectetur numquam neque. Ipsum non eius neque sit. Dolore quiquia quaerat ipsum. Quiquia non sed consectetur. Sit porro dolorem tempora modi dolor non neque. Modi non ipsum neque porro. Dolorem labore velit dolorem amet modi quaerat.,Dionisis Stefanatos,,,,Multi-lateral regional core,Emmanuelle Anceaume,Liliam Rodriguez-Guerrero,Quaerat adipisci sit sit labore quaerat.,Porro modi non amet velit.,False,True,False,Controllability|Delay-dependent|Linearizability|Stabilizability|Prescribed-time,208,,6701488,data processing,"Miller, Gallegos and Frazier|Hobbs-Hanson|Gonzalez, Goodman and Sampson|Hansen-Gutierrez",9,6,True,,,26.08911097989347
6697288,Arti Dwivedi|Ashok Kumar Mittal|Suneet Dwivedi,7368-1319-0|637-48423-8|385-27564-5,J,Role of parameter adaptation in chaotic communication.,2015,DemoPaper,Quiquia quaerat neque consectetur est aliquam ipsum. Etincidunt voluptatem ut modi eius etincidunt quiquia dolore. Non ipsum non ut. Ut dolorem modi neque consectetur aliquam magnam ut. Quaerat tempora amet amet aliquam neque ipsum amet. Porro ut etincidunt dolore. Dolore voluptatem tempora dolorem dolorem non. Aliquam non adipisci sit eius magnam adipisci. Eius eius dolor quiquia sit quiquia.,Adrijit Goswami,,,,Stand-alone dedicated encryption,Jiwei Sun,Chuan Ding,Dolor quaerat dolorem voluptatem velit non porro etincidunt.,Aliquam adipisci non dolore aliquam.,True,True,True,Delay-dependent|Output-feedback|data querying|Synchronization|Controllability,129,,6698638,data modeling,"Lee, Weber and Richardson|Vargas, Rojas and Goodwin|Higgins Group",5,8,True,,,48.621842865404
6697299,Nick Wainwright|Siani Pearson,237-29589-9|377-57373-8,C,An interdisciplinary approach to accountability for future internet service provision.,2013,DemoPaper,Amet dolore modi numquam. Labore neque voluptatem non eius. Consectetur dolorem numquam velit. Dolore voluptatem consectetur amet. Dolorem quaerat ipsum dolor aliquam. Porro magnam quisquam velit dolor dolorem dolore aliquam. Numquam voluptatem est ut non. Est neque quiquia sit velit.,,Fouad Baouche,Extended asymmetric secured line,S,,Himadri Basu,Jian Wu 0001,Non aliquam amet aliquam eius.,Etincidunt voluptatem labore sed sed.,True,True,True,Coordinate-free|Synchronization|Controllability|data querying|Leader-follower,,8788,6699726,data management,Mitchell-Cox|Yang-Henderson,7,3,,True,annual,
6697300,Deepthi P. Pattathil|Nishanth Augustine|Sudhish N. George,441-78527-7|89652-620-3|226-64637-5,J,An audio encryption technique through compressive sensing and Arnold transform.,2015,DemoPaper,Aliquam ipsum dolorem quiquia neque velit voluptatem. Quaerat porro amet est porro modi quaerat aliquam. Magnam dolore numquam neque etincidunt modi ut aliquam. Labore quiquia ut adipisci. Est ut ipsum ut. Aliquam sit magnam numquam quaerat.,Carlo Novara,,,,Optional modular benchmark,Robin Pemantle,Pedro Albertos,Eius adipisci numquam non adipisci ipsum quiquia dolorem.,Sed quaerat amet aliquam dolore etincidunt.,True,True,True,Delay-dependent|Synchronization|Stabilizability|Safety-critical|Interconnection,435,,6698840,database,"Newman-Hopkins|Lynch, Odonnell and Miller|Mclean, King and Rodriguez",2,7,False,,,21.062095697172644
6697304,Adrijit Goswami|Ashok Kumar Das|Vanga Odelu,640-76938-2|14-295024-1|385-79469-3,C,A novel linear polynomial-based dynamic key management scheme for hierarchical access control.,2013,ShortPaper,Velit dolorem neque non. Dolore ipsum dolore aliquam. Magnam dolorem amet quisquam adipisci est quisquam labore. Tempora ipsum ipsum tempora ipsum quiquia eius modi. Eius dolor eius ipsum aliquam tempora. Adipisci aliquam aliquam neque. Modi consectetur dolor velit neque etincidunt.,,Jing Zhou 0002,Compatible optimizing structure,R,,Han-Xiong Li,Bei Lu,Ipsum sit dolore velit ipsum.,Consectetur aliquam quaerat amet aliquam quiquia.,False,True,False,Synchronization|Output-feedback|Controllability|Controllability|Delay-dependent,,4074,6700995,data processing,"Hamilton-Lee|Allen and Sons|Dunn, Herrera and Hoffman",4,8,,False,irregular,
