citaID,author,title,year
4099947,Clement T. Yu|Hai He|Weiyi Meng|Yiyao Lu|Zonghuan Wu,Towards Deeper Understanding of the Search Interfaces of the Deep Web.,2007.0
4101131,Fatih Gelgi|Hasan Davulcu|Srinivas Vadrevu,Information Extraction from Web Pages Using Presentation Regularities and Domain Knowledge.,2007.0
4102549,Daniel A. Menascé|Vasudeva Akula,Improving the Performance of Online Auctions Through Server-side Activity-based Caching.,2007.0
4103150,Hongjian Fan|Kotagiri Ramamohanarao,Patterns Based Classifiers.,2007.0
4103611,Bing Liu 0001|Yanhong Zhai,Extracting Web Data Using Instance-Based Learning.,2007.0
4103851,Anne H. H. Ngu|Erich J. Neuhold|Masaru Kitsuregawa,Editorial.,2007.0
4104163,Morgan Ericsson,The Effects of XML Compression on SOAP Performance.,2007.0
4104216,David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith,Bringing Semantics to Web Services with OWL-S.,2007.0
4104905,Anis Charfi|Mira Mezini,AO4BPEL: An Aspect-oriented Extension to BPEL.,2007.0
4105019,Bart Verheecke|Davy Suvée|María Agustina Cibrán|Viviane Jonckers|Wim Vanderperren,"Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management.",2007.0
4106084,Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine,Event-driven Video Awareness Providing Physical Security.,2007.0
4107408,Istvan Beszteri|Petri Vuorimaa,Vertical Navigation of Layout Adapted Web Documents.,2007.0
4107466,Jean-Philippe Martin-Flatin|Welf Löwe,Special Issue on Recent Advances in Web Services.,2007.0
4108256,Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan,Efficient Update of Indexes for Dynamically Changing Web Documents.,2007.0
5501558,Mohammad Arif Ul Alam|Nilavra Pathak|Nirmalya Roy,Mobeacon: An iBeacon-Assisted Smartphone-Based Real Time Activity Recognition Framework.,2015.0
6237190,Emilio Coppa,An interactive visualization framework for performance analysis.,2015.0
6697269,Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu,Trust integrated node potential aware routing for WSNs.,2014.0
6697270,Anant V. Nimkar|Soumya K. Ghosh 0001,An access control model for cloud-based EMR federation.,2014.0
6697271,Jeril Kuriakose|Sandeep Joshi,Secured MPR node selection in the presence of cheating nodes.,2016.0
6697272,Julita Vassileva|Sabrina Nusrat,Simulating a trust-based service recommender system for decentralised user modelling environment.,2013.0
6697273,Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee,Formal security analysis and verification of a password-based user authentication scheme for hierarchical wireless sensor networks.,2014.0
6697274,Mulagala Sandhya|Munaga V. N. K. Prasad,A hybrid technique to secure fingerprint templates using Delaunay neighbour structures.,2016.0
6697275,Leila Kheroua|Louiza Mansour|Samira Moussaoui,EDARD: efficient data access based on rumour dissemination in wireless sensor networks.,2013.0
6697276,Ajith Abraham|Mrutyunjaya Panda,Development of a reliable trust management model in social internet of things.,2014.0
6697277,Appala Naidu Tentu|Prabal Paul|V. Ch. Venkaiah,Computationally perfect compartmented secret sharing schemes based on MDS codes.,2014.0
6697278,Fufang Li|Lingxi Peng|Miao Liu 0005|Waixi Liu 0001|Ying Gao,Archimedean copula-based estimation of distribution algorithm for multi-objective optimisation.,2013.0
6697279,K. Chandrasekaran 0001|Manoj V. Thomas,Agent-based approach for identity and access management in the inter-cloud environments.,2014.0
6697280,Animesh Mahata|Biswajit Biswas|Md. Asif Sarfaraj|Palash Mandal|Subhas Barman|Utpal Pal,A complete literature review on financial fraud detection applying data mining techniques.,2016.0
6697281,Amanjot Kaur|Varun Dutt,"Cyber security: testing the effects of attack strategy, similarity, and experience on cyber attack detection.",2013.0
6697282,Bahia Zebbane|Manel Chenait|Nadjib Badache,GTC: a geographical topology control protocol to conserve energy in wireless sensor networks.,2013.0
6697283,Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena,Enhanced t-closeness for balancing utility and privacy.,2013.0
6697284,Deepnarayan Tiwari|G. R. Gangadharan|Maode Ma,Secure delegation of services through proxy signature with revocation.,2016.0
6697285,Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski,Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,2013.0
6697286,Cécile Paris|Sanat Kumar Bista|Surya Nepal|Wanita Sherchan,A trust model-based analysis of social networks.,2013.0
6697287,C. Balarengadurai|S. Saraswathi,Fuzzy logic-based detection of DDoS attacks in IEEE 802.15.4 low rate wireless personal area network.,2013.0
6697288,Arti Dwivedi|Ashok Kumar Mittal|Suneet Dwivedi,Role of parameter adaptation in chaotic communication.,2015.0
6697289,Mohan S. Kankanhalli|Mukesh Kumar Saini|Pradeep K. Atrey|Sharad Mehrotra,Privacy aware publication of surveillance video.,2013.0
6697290,Jaipal Reddy Anugu|Munaga V. N. K. Prasad,Multi-algorithmic fingerprint model for cancellable template generation.,2016.0
6697291,Jitendra Singh|Rakesh Kumar 0008|Vimal Kumar 0002,An efficient and secure RSA-based certificateless signature scheme for wireless sensor networks.,2017.0
6697292,Kenneth David Strang,Socio-cultural distrust of internet information.,2018.0
6697293,Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee,A survey on user access control in wireless sensor networks with formal security verification.,2014.0
6697294,Brennen Kelly|Kelsey Karpinski|Syed S. Rizvi|Taryn Walker,A user oriented cloud security evaluation framework.,2015.0
6697295,Arpita Bhargava|Brijesh Kumar Chaurasia|Kapil Sharma|Shekhar Verma,Trust computation in VANET using TOEFV.,2017.0
6697296,Albert Rego|Christos Gkountis|Jaime Lloret 0001|Laura García,A new proposal for trust management in wireless sensor networks based on validation.,2017.0
6697297,Hisham Salah|Mohamed Eltoweissy,Personalised reconfigurable trust management.,2018.0
6697298,Jens Müller 0002|Klemens Böhm,Identity business processes.,2014.0
6697299,Nick Wainwright|Siani Pearson,An interdisciplinary approach to accountability for future internet service provision.,2013.0
6697300,Deepthi P. Pattathil|Nishanth Augustine|Sudhish N. George,An audio encryption technique through compressive sensing and Arnold transform.,2015.0
6697301,A. Pravin Renold|S. Geethanjali,A trust-based AODV routing protocol for improved QoS in mobile ad-hoc networks.,2014.0
6697302,Agrima Srivastava|G. Geethakumari,Privacy landscape in online social networks.,2015.0
6697303,Al-Sakib Khan Pathan,Editorial article: On the boundaries of trust and security in computing and communications systems.,2014.0
6697304,Adrijit Goswami|Ashok Kumar Das|Vanga Odelu,A novel linear polynomial-based dynamic key management scheme for hierarchical access control.,2013.0
6697305,Dheerendra Mishra|Sourav Mukhopadhyay,A privacy enabling content distribution framework for digital rights management.,2014.0
6697306,G. Geethakumari|K. P. Krishna Kumar,Analysis and modelling of semantic attacks in online social networks.,2014.0
6697307,Jared Oluoch,A theoretical framework for trust management in vehicular ad hoc networks.,2015.0
6697308,Jemal H. Abawajy|Soon-Keow Chong,Mitigating malicious feedback attacks in trust management systems.,2015.0
6697309,Md. Imran Alam|Raju Halder,Refining dependencies for information flow analysis of database applications.,2016.0
6697310,Priyanka Dey|Sarmistha Neogy|Suparna Biswas,Improved recovery probability of mobile hosts using energy and mobility-based secure checkpointing-recovery.,2014.0
6697311,Bhagyalekshmy N. Thampi|Guillaume Bouffard|Jean-Louis Lanet,Security automaton to mitigate laser-based fault attacks on smart cards.,2014.0
6697312,BKSP Kumar Raju Alluri|G. Geethakumari|Geetha Meera,CEAT: a cloud evidence acquisition tool for aiding forensic investigations in cloud systems.,2016.0
6697313,Anant V. Nimkar|Soumya K. Ghosh 0001,Caucus: an authentication protocol for cloud federation.,2018.0
6697314,Arunkumar Thangavelu|Debi Prasanna Acharjya|K. Senthil Kumar,Trust evaluation using fuzzy proximity relation with ordering for MANET.,2013.0
6697315,Enrico Cambiaso|Gianluca Papaleo|Giovanni Chiola|Maurizio Aiello,Slow DoS attacks: definition and categorisation.,2013.0
6697316,A. Christy|Rangareddy Jayashree|S. Venkatesh,Personalised recommendation system for ranking in question-answering websites with splay tree by avoiding tumbleweed badge.,2018.0
6697317,Nilesh Chakraborty|Samrat Mondal,I-SLASS: an improved login approach over SLASS.,2014.0
6697318,Nilesh Chakraborty|Samrat Mondal,HoneyString: an improved methodology over tag digit-based honeypot to detect shoulder surfing attack.,2015.0
6697319,Kamel Saddiki|Marc Gilg|Pascal Lorenz|Sofiane Boukli Hacene,Black hole attack detection and ignoring in OLSR protocol.,2017.0
6697320,Anand Singh Jalal|Charul Bhatnagar|Soumendu Chakraborty,An efficient bit plane X-OR algorithm for irreversible image steganography.,2013.0
6697321,Ratna Dutta|Sarbari Mitra|Sourav Mukhopadhyay,A deterministic key pre-distribution scheme for WSN using projective planes and their complements.,2014.0
6697322,Eric D. Kameni|Theo P. van der Weide,Intrusion detection in a trust-based recommendation system.,2017.0
6697323,B. B. Amberker|B. R. Purushothama,Secure group key management scheme for simultaneous multiple groups with overlapped memberships using binomial key tree with new approach to key distribution and key computation.,2013.0
6697324,Punam Bedi|Richa Sharma|V. Aakanksha,Trust and context view-based knowledge sharing in MANets.,2013.0
6697325,Ilaiah Kavati|Munaga V. N. K. Prasad,Hand vein authentication system using connected minutiae neighbours.,2014.0
6697326,Mahmoud Mariee|Marwa Gamal|Rawya Rizk,Selective opportunistic routing based on QoS in wireless mesh network.,2013.0
6697327,K. Chandrasekaran|V. Geetha,TFSR: trust factors evaluation-based secure routing protocol for wireless sensor network.,2015.0
6697328,Christian Callegari|Gregorio Procissi|Michele Pagano|Stefano Giordano,A secure and privacy-preserving approach to communications in smart grids.,2016.0
6697329,Christian Hicks|Pupong Pongcharoen|Srisatja Vitayasak,Robust machine layout design under dynamic environment: Dynamic customer demand and machine maintenance.,2019.0
6697330,Eynollah Khanjari|Nasrin Kalanat,Extracting actionable knowledge from social networks with node attributes.,2019.0
6697331,Hamid Abdullah Jalab|Maryam Asadzadeh Kaljahi|Michael Blumenstein|Mohamad Nizam Bin Ayub|Palaiahnakote Shivakumara|Rabha W. Ibrahim|Tianping Hu|Tong Lu,A geometric and fractional entropy-based method for family photo classification.,2019.0
6697332,Debahuti Mishra|Minakhi Rout|Smruti Rekha Das,Stock market prediction using Firefly algorithm with evolutionary framework optimized feature reduction for OSELM method.,2019.0
6697333,Conrad S. Tucker|Sung Hoon Lim,Mining Twitter data for causal links between tweets and real-world outcomes.,2019.0
