DOI,AuthorName,Author-orcid,VenueType,Title,YearPublished,PaperType,Abstract,EditorName,ChairName,ConfName,ConfType,JournalName,ReviewerName1,ReviewerName2,ReviewText1,ReviewText2,ReviewDecision1,ReviewDecision2,FinalDecision,Keywords,VolumeNr,IndexNr,Citation_DOI,Area,Affiliation,YearsReviewerExperience1,YearsReviewerExperience2,ManagesProductionProcess,ManagesPanelsContent,Frequency,JournalImpactFactor
4103150,Hongjian Fan|Kotagiri Ramamohanarao,0000-0003-3304-9268,C,Patterns Based Classifiers.,2007,ShortPaper,Ut amet dolor est dolorem modi. Magnam aliquam labore adipisci. Quiquia quisquam ut quaerat quiquia. Neque magnam amet quaerat. Ut quisquam numquam consectetur. Quiquia porro dolorem modi non numquam. Quiquia adipisci eius dolor voluptatem amet. Neque est quaerat voluptatem sit amet consectetur. Modi neque ipsum labore adipisci sit sed.,,Timothy Walker,Future-proofed radical Graphic Interface,R,,Ehsan Ahmad,David Angeli,Aliquam quiquia quiquia quiquia eius.,Etincidunt non tempora magnam aliquam quaerat etincidunt velit.,False,True,False,Delay-dependent|database|Output-feedback|Output-feedback|Event-triggered,,7917,6702178,database,"Santos LLC|Pennington, Nunez and Morgan",6,4,,True,annual,
4104163,Morgan Ericsson,0000-0003-1173-5187,C,The Effects of XML Compression on SOAP Performance.,2007,ShortPaper,Dolorem voluptatem non ipsum quisquam dolorem. Ipsum voluptatem neque labore. Dolore quiquia ipsum aliquam sit. Eius voluptatem porro magnam aliquam dolorem quaerat aliquam. Modi non etincidunt porro modi.,,Gregory Vega,Visionary explicit budgetary management,W,,James Lam,Chang Duan,Non modi porro non aliquam amet.,Consectetur voluptatem dolor porro eius velit.,True,True,True,Parallelization|Luenberger-type|Vision-Enhanced|Output-feedback|Event-triggered,,2169,6700545,indexing,"Yates, Clark and Kelly",5,1,,True,irregular,
4104216,David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith,0000-0001-7037-4567,J,Bringing Semantics to Web Services with OWL-S.,2007,ShortPaper,Magnam non labore dolorem ut velit. Amet ipsum eius est sed sit. Etincidunt dolorem quiquia dolor non adipisci numquam. Dolore aliquam neque porro. Ut voluptatem sit adipisci. Non porro amet adipisci consectetur. Eius quisquam dolor velit. Numquam dolor eius est.,Emma Guzman MD,,,,Object-based intermediate approach,Anna Maria Perdon,Andrea Garulli,Magnam dolor modi dolorem quisquam velit.,Eius neque dolor consectetur sit.,False,False,False,"Irreducibility,|Representations|Event-triggered|Interconnection|Safety-critical",229,,6699537,data management,"Cruz-Evans|Hahn-Garcia|Obrien LLC|Alexander-Donovan|Turner Ltd|Thomas-Smith|Anderson-Andrade|Conley, Johnson and Johnson|Thomas LLC",7,2,True,,,33.544685755215006
4106084,Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine,0000-0001-7880-2140,J,Event-driven Video Awareness Providing Physical Security.,2007,DemoPaper,Adipisci quiquia sed quiquia adipisci quaerat neque. Non sit numquam porro velit velit. Consectetur magnam magnam amet quaerat adipisci. Magnam est etincidunt est quiquia aliquam est. Velit quaerat etincidunt tempora sed.,Kathy Zamora,,,,Persistent dynamic functionalities,Daniel R. Ramírez 0001,Andrew R. Teel,Eius quisquam velit porro velit adipisci magnam velit.,Numquam labore modi tempora magnam modi quaerat ipsum.,True,True,True,data processing|Synchronization|Representations|Knowledge-based|Event-triggered,695,,6698778,data querying,"Ferguson-Owens|Martinez PLC|Davis-Lloyd|Chan, Woods and Harvey",1,2,False,,,33.659007969562005
4108256,Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan,0000-0001-7970-6118,J,Efficient Update of Indexes for Dynamically Changing Web Documents.,2007,ShortPaper,Sit amet modi quisquam dolor dolor sit. Neque sit voluptatem neque dolor. Consectetur adipisci ipsum est ut quisquam velit. Dolore tempora magnam adipisci. Numquam quisquam etincidunt velit modi. Tempora ipsum quaerat dolor amet sit. Quaerat ipsum magnam porro numquam velit magnam est. Quaerat dolorem dolorem sed quaerat neque est labore. Quiquia amet porro aliquam dolore. Porro etincidunt porro neque modi.,Alexandra Shelton,,,,Robust high-level attitude,Shinji Hara,Genqi Xu,Non porro velit non labore quaerat.,Amet eius dolore quiquia non sed.,True,True,True,Event-triggered|Coordinate-free|Delay-dependent|Delay-dependent|Event-triggered,251,,6701345,data processing,"May, Brown and Rangel|Hoffman-Gonzales|Quinn and Sons|Brown Ltd|Morrison PLC",5,4,False,,,5.99769654438293
6237190,Emilio Coppa,0000-0002-8094-871X,C,An interactive visualization framework for performance analysis.,2015,Poster,Etincidunt est eius tempora sit eius. Eius magnam ut quisquam quisquam aliquam quiquia. Numquam ipsum neque ipsum. Ut tempora neque quiquia etincidunt. Magnam ut dolorem consectetur numquam sit dolorem.,,James King,Virtual neutral data-warehouse,R,,Andong Liu,Guoquan Huang 0001,Ipsum magnam est dolore adipisci ipsum quiquia eius.,Ut ipsum aliquam modi.,True,False,False,Delay-dependent|Safety-critical|Controllability|Vision-Enhanced|Coordinate-free,,2392,6701920,big data,"Herrera, Chambers and Ferrell",2,2,,False,irregular,
6697269,Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu,0000-0002-9581-401X,J,Trust integrated node potential aware routing for WSNs.,2014,FullPaper,Dolore sit quaerat adipisci adipisci dolore. Quaerat dolore quisquam non porro velit. Dolore dolorem etincidunt magnam tempora sed. Ipsum amet velit dolore. Ut voluptatem modi non. Tempora adipisci voluptatem numquam quiquia modi aliquam. Adipisci magnam modi ipsum. Quiquia neque numquam sed dolore sit etincidunt dolor. Modi labore porro dolor ut quaerat. Porro voluptatem ipsum est sit.,Jacqueline Torres,,,,Profound radical secured line,Hyo-Sung Ahn,Ivan Markovsky,Velit ut est aliquam.,Voluptatem modi dolor modi non adipisci ipsum.,True,False,False,Polynomial-time|Implicit-system|Interconnection|Coordinate-free|Parallelization,344,,6698610,indexing,"Herrera-Smith|Wong, Sweeney and Patel|Zimmerman, Decker and Marquez|Hernandez Ltd|Jackson LLC",1,9,False,,,47.06395458063943
6697270,Anant V. Nimkar|Soumya K. Ghosh 0001,0000-0002-3904-2924,C,An access control model for cloud-based EMR federation.,2014,Poster,Quisquam sed etincidunt tempora. Quisquam ipsum adipisci sit eius quaerat. Magnam dolorem numquam dolorem tempora est magnam magnam. Ut adipisci numquam consectetur est etincidunt quiquia numquam. Aliquam dolor quiquia sit magnam velit ipsum. Dolore sed porro sit eius. Labore sed dolorem adipisci. Adipisci neque quiquia velit consectetur quiquia aliquam. Sit numquam sit non numquam modi. Amet labore aliquam numquam.,,Marcus Snyder,Synergistic tertiary hierarchy,R,,Chenhui Liu,Aldo-Jonathan Munoz-Vazquez,Numquam labore ut quaerat eius dolore consectetur.,Consectetur etincidunt eius non non magnam.,True,True,True,data querying|Controllability|Synchronization|Coordinate-free|Controllability,,6252,6697800,data querying,"Harper, Norman and Shah|Baker-Woodard",2,4,,True,triennial,
6697283,Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena,0000-0002-5963-5735,C,Enhanced t-closeness for balancing utility and privacy.,2013,FullPaper,Eius est velit ipsum amet. Quiquia numquam dolor quiquia quisquam. Labore est ut amet numquam dolorem. Ut non porro numquam consectetur. Quisquam non ut sit etincidunt dolor. Adipisci neque velit etincidunt eius numquam. Aliquam voluptatem dolorem quiquia labore. Quisquam sit velit aliquam. Numquam modi neque neque ipsum ipsum adipisci. Ut ipsum dolorem tempora.,,Stephen Miller,Visionary high-level open system,R,,Birgit Jacob,Ding-Xuan Zhou,Sed eius est porro voluptatem.,Dolorem magnam modi eius etincidunt eius quiquia velit.,True,True,True,Stabilizability|Controllability|data modeling|Edge-Artificial|Controllability,,2697,6699707,big data,"Hernandez Ltd|Roberts-Wu|Sullivan, Wallace and Zimmerman",3,4,,True,annual,
6697285,Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski,0000-0002-1149-7863|0000-0002-5955-5890,J,Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,2013,DemoPaper,Velit quisquam quisquam voluptatem magnam sit aliquam. Magnam neque dolorem dolorem magnam. Est dolore est non. Amet labore ut voluptatem amet voluptatem. Tempora eius dolor quiquia ipsum modi modi. Quisquam est numquam ut. Sit est quisquam eius modi.,Amanda Johnson,,,,Secured static database,Gabriela Marinoschi,Yair Wiseman,Ut eius quaerat velit.,Ipsum dolore quiquia ipsum quaerat.,True,True,True,Output-feedback|Stabilizability|Delay-dependent|Representations|Edge-Artificial,203,,6698614,data modeling,"Colon, Johnson and Sullivan|Pennington, Nunez and Morgan|Lee Ltd|Garcia Inc|Mcdonald, Robinson and Walsh|Gonzales-Tran",8,1,False,,,18.116281713814118
