reviewID,DOI,author,title,reviewer_name,reviews,accepted
999,4099947,Clement T. Yu|Hai He|Weiyi Meng|Yiyao Lu|Zonghuan Wu,Towards Deeper Understanding of the Search Interfaces of the Deep Web.,Cyrill Stachniss,Eius consectetur quaerat tempora numquam.,True
1000,4101131,Fatih Gelgi|Hasan Davulcu|Srinivas Vadrevu,Information Extraction from Web Pages Using Presentation Regularities and Domain Knowledge.,Ian R. Petersen,Numquam sed voluptatem quaerat.,True
1001,4102549,Daniel A. Menascé|Vasudeva Akula,Improving the Performance of Online Auctions Through Server-side Activity-based Caching.,Fang Gao,Est non amet eius quiquia consectetur ut velit.,True
1002,4103150,Hongjian Fan|Kotagiri Ramamohanarao,Patterns Based Classifiers.,Gonzalo Comas,Ipsum voluptatem quaerat tempora magnam velit.,True
1003,4103611,Bing Liu 0001|Yanhong Zhai,Extracting Web Data Using Instance-Based Learning.,Kakan C. Dey,Modi dolorem dolor consectetur dolore.,False
1004,4103851,Anne H. H. Ngu|Erich J. Neuhold|Masaru Kitsuregawa,Editorial.,V. Jurdjevic,Est neque modi est quaerat.,True
1005,4104163,Morgan Ericsson,The Effects of XML Compression on SOAP Performance.,Thi Ai Thao Nguyen,Non porro labore sit.,True
1006,4104216,David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith,Bringing Semantics to Web Services with OWL-S.,Ming Cao 0001,Ipsum porro modi non.,True
1007,4104905,Anis Charfi|Mira Mezini,AO4BPEL: An Aspect-oriented Extension to BPEL.,Douglas A. Sant'Anna,Est velit dolor labore non.,True
1008,4105019,Bart Verheecke|Davy Suvée|María Agustina Cibrán|Viviane Jonckers|Wim Vanderperren,"Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management.",Bailing Zhang,Voluptatem etincidunt adipisci quisquam quiquia aliquam.,True
1009,4106084,Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine,Event-driven Video Awareness Providing Physical Security.,Deqing Huang,Sit velit sed eius.,True
1010,4107408,Istvan Beszteri|Petri Vuorimaa,Vertical Navigation of Layout Adapted Web Documents.,Hui Zhang 0078,Porro magnam etincidunt quisquam sit labore.,False
1011,4107466,Jean-Philippe Martin-Flatin|Welf Löwe,Special Issue on Recent Advances in Web Services.,Gang Xie,Porro eius neque magnam.,True
1012,4108256,Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan,Efficient Update of Indexes for Dynamically Changing Web Documents.,Chang-Hyun Jo,Magnam est etincidunt amet.,True
1013,5501558,Mohammad Arif Ul Alam|Nilavra Pathak|Nirmalya Roy,Mobeacon: An iBeacon-Assisted Smartphone-Based Real Time Activity Recognition Framework.,Chengming Huang,Etincidunt dolorem dolore neque quisquam.,True
1014,6237190,Emilio Coppa,An interactive visualization framework for performance analysis.,Felix L. Schwenninger,Velit ut quisquam modi velit aliquam.,True
