DOI,reviewid
4099947,999
4101131,1000
4102549,1001
4103150,1002
4103611,1003
4103851,1004
4104163,1005
4104216,1006
4104905,1007
4105019,1008
4106084,1009
4107408,1010
4107466,1011
4108256,1012
5501558,1013
6237190,1014
6697269,1015
6697270,1016
6697271,1017
6697272,1018
6697273,1019
6697274,1020
6697275,1021
6697276,1022
6697277,1023
6697278,1024
6697279,1025
6697280,1026
6697281,1027
6697282,1028
6697283,1029
6697284,1030
6697285,1031
6697286,1032
6697287,1033
6697288,1034
6697289,1035
6697290,1036
6697291,1037
6697292,1038
6697293,1039
6697294,1040
6697295,1041
6697296,1042
6697297,1043
6697298,1044
6697299,1045
6697300,1046
6697301,1047
6697302,1048
6697303,1049
6697304,1050
6697305,1051
6697306,1052
6697307,1053
6697308,1054
6697309,1055
6697310,1056
6697311,1057
6697312,1058
6697313,1059
6697314,1060
6697315,1061
6697316,1062
6697317,1063
6697318,1064
6697319,1065
6697320,1066
6697321,1067
6697322,1068
6697323,1069
6697324,1070
6697325,1071
6697326,1072
6697327,1073
6697328,1074
6697329,1075
6697330,1076
6697331,1077
6697332,1078
6697333,1079
6697334,1080
6697335,1081
6697336,1082
6697337,1083
6697338,1084
6697339,1085
6697340,1086
6697341,1087
6697342,1088
6697343,1089
6697344,1090
6697345,1091
6697346,1092
6697347,1093
6697348,1094
6697349,1095
6697350,1096
6697351,1097
6697352,1098
6697353,1099
6697354,1100
6697355,1101
6697356,1102
6697357,1103
6697358,1104
6697359,1105
6697360,1106
6697361,1107
6697362,1108
6697363,1109
6697364,1110
6697365,1111
6697366,1112
6697368,1113
6697369,1114
6697370,1115
6697371,1116
6697372,1117
6697373,1118
6697374,1119
6697375,1120
6697376,1121
6697377,1122
6697378,1123
6697379,1124
6697380,1125
6697381,1126
6697382,1127
6697383,1128
6697384,1129
6697385,1130
6697386,1131
6697387,1132
6697388,1133
6697389,1134
6697390,1135
6697391,1136
6697392,1137
6697393,1138
6697394,1139
6697395,1140
6697396,1141
6697397,1142
6697398,1143
6697399,1144
6697400,1145
6697401,1146
6697402,1147
6697403,1148
6697404,1149
6697405,1150
6697406,1151
6697407,1152
6697409,1153
6697410,1154
6697411,1155
6697412,1156
6697413,1157
6697414,1158
6697415,1159
6697416,1160
6697417,1161
6697418,1162
6697419,1163
6697420,1164
6697421,1165
6697422,1166
6697423,1167
6697424,1168
6697425,1169
6697426,1170
6697427,1171
6697428,1172
6697429,1173
6697430,1174
6697431,1175
6697432,1176
6697433,1177
6697434,1178
6697435,1179
6697436,1180
6697438,1181
6697439,1182
6697440,1183
6697441,1184
6697442,1185
6697443,1186
6697444,1187
6697445,1188
6697446,1189
6697447,1190
6697448,1191
6697449,1192
6697450,1193
6697451,1194
6697452,1195
6697453,1196
6697454,1197
6697455,1198
6697456,1199
6697457,1200
6697458,1201
6697459,1202
6697460,1203
6697461,1204
6697462,1205
6697463,1206
6697464,1207
6697465,1208
6697466,1209
6697467,1210
6697468,1211
6697470,1212
6697471,1213
6697472,1214
6697473,1215
6697474,1216
6697475,1217
6697476,1218
6697477,1219
6697478,1220
6697479,1221
6697480,1222
6697481,1223
6697482,1224
6697484,1225
6697485,1226
6697486,1227
6697487,1228
6697488,1229
6697490,1230
6697491,1231
6697492,1232
6697493,1233
6697494,1234
6697495,1235
6697496,1236
6697497,1237
6697498,1238
6697499,1239
6697500,1240
6697501,1241
6697502,1242
6697503,1243
6697504,1244
6697505,1245
6697507,1246
6697508,1247
6697509,1248
6697510,1249
6697511,1250
6697512,1251
6697513,1252
6697514,1253
6697515,1254
6697517,1255
6697518,1256
6697520,1257
6697521,1258
6697522,1259
6697523,1260
6697524,1261
6697525,1262
6697526,1263
6697527,1264
6697529,1265
6697530,1266
6697531,1267
6697532,1268
6697533,1269
6697534,1270
6697535,1271
6697536,1272
6697537,1273
6697538,1274
6697539,1275
6697540,1276
6697541,1277
6697542,1278
6697543,1279
6697544,1280
6697545,1281
6697546,1282
6697547,1283
6697548,1284
6697549,1285
6697550,1286
6697551,1287
6697552,1288
6697553,1289
6697554,1290
6697555,1291
6697556,1292
6697557,1293
6697558,1294
6697559,1295
6697560,1296
6697561,1297
6697562,1298
6697563,1299
6697564,1300
6697566,1301
6697567,1302
6697568,1303
6697569,1304
6697570,1305
6697571,1306
6697572,1307
6697573,1308
6697575,1309
6697576,1310
6697577,1311
6697578,1312
6697579,1313
6697580,1314
6697581,1315
6697582,1316
6697583,1317
6697584,1318
6697585,1319
6697586,1320
6697587,1321
6697588,1322
6697589,1323
6697590,1324
6697591,1325
6697592,1326
6697593,1327
6697594,1328
6697595,1329
6697596,1330
6697597,1331
6697598,1332
6697599,1333
6697600,1334
6697601,1335
6697602,1336
6697603,1337
6697605,1338
6697606,1339
6697607,1340
6697608,1341
6697609,1342
6697610,1343
6697611,1344
6697612,1345
6697613,1346
6697614,1347
6697615,1348
6697616,1349
6697617,1350
6697618,1351
6697619,1352
6697620,1353
6697621,1354
6697622,1355
6697623,1356
6697624,1357
6697625,1358
6697626,1359
6697627,1360
6697628,1361
6697629,1362
6697630,1363
6697631,1364
6697632,1365
6697633,1366
6697634,1367
6697635,1368
6697636,1369
6697637,1370
6697638,1371
6697639,1372
6697640,1373
6697641,1374
6697642,1375
6697643,1376
6697644,1377
6697645,1378
6697646,1379
6697647,1380
6697648,1381
6697649,1382
6697650,1383
6697651,1384
