DOI,AuthorName,Author-orcid,VenueType,Title,YearPublished,PaperType,Abstract,EditorName,ChairName,ConfName,ConfType,JournalName,ReviewerName1,ReviewerName2,ReviewText1,ReviewText2,ReviewDecision1,ReviewDecision2,FinalDecision,Keywords,VolumeNr,IndexNr,Citation_DOI,Area,Affiliation,YearsReviewerExperience1,YearsReviewerExperience2,ManagesProductionProcess,ManagesPanelsContent,Frequency,JournalImpactFactor
4103150,Hongjian Fan|Kotagiri Ramamohanarao,353-87103-9|514-28213-0,J,Patterns Based Classifiers.,2007,DemoPaper,Magnam quaerat velit neque neque est neque etincidunt. Sed sed quiquia sed eius neque. Consectetur tempora dolore amet sit. Neque aliquam amet magnam porro. Aliquam velit numquam adipisci quaerat consectetur labore dolorem. Sed eius quisquam neque est magnam sit. Ipsum sed quisquam dolor est aliquam dolore quaerat. Modi sed velit consectetur adipisci eius. Dolorem dolor quisquam quaerat. Ipsum dolor amet ut neque.,John Gray,,,,Cross-platform content-based initiative,Hsien-Wen Deng,Blazej Cichy,Dolor aliquam quiquia quiquia quiquia eius quisquam.,Etincidunt non tempora magnam aliquam quaerat etincidunt velit.,True,True,True,Delay-dependent|database|Output-feedback|Output-feedback|Event-triggered,531,,6701076,database,Stanton and Sons|Roach-Hughes,6,7,True,,,26.977727998129446
4104163,Morgan Ericsson,06-783217-1,J,The Effects of XML Compression on SOAP Performance.,2007,FullPaper,Amet dolore quisquam voluptatem consectetur dolorem sed ipsum. Aliquam ipsum tempora eius consectetur non labore quiquia. Consectetur tempora quiquia magnam numquam dolor modi dolorem. Ipsum numquam velit etincidunt dolor quaerat sed aliquam. Dolor dolor modi ut aliquam consectetur modi. Non modi etincidunt eius porro quiquia. Dolorem numquam velit adipisci consectetur non. Ipsum modi ut dolorem amet dolorem quiquia. Voluptatem quisquam non eius dolor. Dolorem porro adipisci labore dolor consectetur.,Adrienne Stephens,,,,Polarized holistic secured line,Le Trung Hieu,Dena Firoozi,Non modi porro non aliquam amet.,Consectetur voluptatem dolor porro eius velit.,True,True,True,Parallelization|Luenberger-type|Vision-Enhanced|Output-feedback|Event-triggered,796,,6700646,indexing,Adams Ltd,1,5,False,,,0.7502913351756457
4104216,David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith,17-764603-8|353-76422-2|913209-92-7|8099-9562-6|577-09245-0|12-300993-1|634-95837-1|555-98976-4|653-66971-3,J,Bringing Semantics to Web Services with OWL-S.,2007,FullPaper,Sed adipisci aliquam non voluptatem. Modi tempora aliquam tempora consectetur sed sit sit. Eius voluptatem quiquia ut consectetur. Modi adipisci aliquam eius dolorem modi dolore sed. Ut sed etincidunt consectetur quiquia etincidunt velit consectetur. Consectetur numquam quisquam est velit quiquia quisquam dolorem. Tempora aliquam amet quiquia.,April Johnson,,,,Team-oriented client-server alliance,Ge Guo,Shuzhen Yang,Magnam dolor modi dolorem quisquam velit.,Eius neque dolor consectetur sit.,True,True,True,"Irreducibility,|Representations|Event-triggered|Interconnection|Safety-critical",902,,6698081,data management,"Alvarez-Robinson|Mills, Wright and Brooks|Mcbride Group|Sosa-Parker|Robbins, Pugh and Boyd|Mathis Ltd|West, Perez and Cook|Phillips-Rodriguez|Hernandez-Simpson",5,9,False,,,43.645205152721815
4106084,Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine,9745227-5-1|667-82948-7|7698-4013-8|333-68204-5,C,Event-driven Video Awareness Providing Physical Security.,2007,Poster,Amet amet dolore sed ipsum ipsum. Velit dolore amet etincidunt. Numquam eius velit porro numquam sit adipisci dolorem. Etincidunt consectetur labore amet consectetur. Sit est neque voluptatem non. Sed modi consectetur tempora eius ipsum voluptatem. Sit sit etincidunt adipisci ut modi labore. Ipsum tempora velit dolor non. Ut dolorem dolore quiquia labore amet ipsum. Aliquam magnam quisquam voluptatem aliquam.,,Erica Scott,Extended didactic parallelism,S,,Feng Xiao 0002,Stephen S.-T. Yau,Eius quisquam velit porro velit adipisci magnam velit.,Numquam labore modi tempora magnam modi quaerat ipsum.,True,True,True,data processing|Synchronization|Representations|Knowledge-based|Event-triggered,,2169,6701222,data querying,Robbins-Bernard|Becker LLC|Hughes PLC|Becker LLC,1,4,,True,irregular,
4108256,Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan,9667404-5-1|7818-3023-1|309-71560-3|553-21160-8|365-48952-4,C,Efficient Update of Indexes for Dynamically Changing Web Documents.,2007,DemoPaper,Quiquia adipisci voluptatem quaerat. Ipsum magnam etincidunt aliquam consectetur voluptatem. Porro magnam magnam neque ut porro numquam. Quaerat labore neque amet. Quiquia dolor tempora porro tempora amet sit ut. Porro quaerat quisquam non. Tempora sed sit eius sed. Velit sit quaerat etincidunt est aliquam adipisci eius. Dolorem consectetur velit quaerat porro amet. Voluptatem velit porro dolor.,,Donald Davila,Customer-focused fresh-thinking hardware,E,,Norman W. Paton,Agustina D'Jorge,Non porro velit non labore quaerat.,Amet eius dolore quiquia non sed.,True,True,True,Event-triggered|Coordinate-free|Delay-dependent|Delay-dependent|Event-triggered,,3090,6699883,data processing,"Gregory, Anderson and West|Sims, Saunders and Garcia|Warren-Henderson|Lee, Santana and Lewis|Miller LLC",9,9,,False,triennial,
6237190,Emilio Coppa,85559-480-2,J,An interactive visualization framework for performance analysis.,2015,DemoPaper,Sed ipsum adipisci quisquam ut quiquia. Adipisci est quisquam dolore amet quiquia velit. Numquam ut neque porro adipisci dolorem sit. Voluptatem est quiquia ipsum labore non. Est labore voluptatem neque. Dolore labore est neque numquam. Est voluptatem dolor ut consectetur voluptatem dolorem. Tempora amet ut sit tempora quiquia.,Brian Day,,,,Universal 4thgeneration secured line,Maria Elena Valcher,Gregorio Malajovich,Ipsum magnam est dolore adipisci ipsum quiquia eius.,Ut ipsum aliquam modi.,True,True,True,Delay-dependent|Safety-critical|Controllability|Vision-Enhanced|Coordinate-free,695,,6698648,big data,Wilson-Perkins,1,9,True,,,5.188654433702661
6697269,Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu,04-589851-4|261-17988-X|9589007-7-8|519-62436-7|469-71377-1,C,Trust integrated node potential aware routing for WSNs.,2014,ShortPaper,Dolorem est aliquam est. Ut magnam dolore eius dolore voluptatem quiquia sit. Consectetur eius adipisci sed quaerat. Numquam dolorem quisquam magnam tempora labore. Tempora etincidunt modi consectetur ut dolorem consectetur.,,Jenna Keller,Multi-lateral multimedia core,W,,Jianjun Cui,Joachim Rosenthal,Velit ut est aliquam.,Voluptatem modi dolor modi non adipisci ipsum.,True,True,True,Polynomial-time|Implicit-system|Interconnection|Coordinate-free|Parallelization,,3433,6697283,indexing,"Lester Group|Hill, Webster and Booth|Conley-Austin|Johnson, Nunez and Elliott|Harvey LLC",7,3,,True,irregular,
6697270,Anant V. Nimkar|Soumya K. Ghosh 0001,247-07206-5|661-84209-3,C,An access control model for cloud-based EMR federation.,2014,ShortPaper,Amet quaerat aliquam dolorem tempora non eius. Dolore aliquam consectetur voluptatem sit voluptatem etincidunt. Quaerat ipsum magnam quisquam numquam labore dolorem. Eius sed dolore neque. Ut quisquam adipisci ipsum quisquam sit. Labore ut est magnam non dolore consectetur.,,Michael Guerra,Multi-layered asymmetric functionalities,W,,Gnana R. Kotamraju,Bo Tang,Numquam labore ut quaerat eius dolore consectetur.,Consectetur etincidunt eius non non magnam.,True,False,False,data querying|Controllability|Synchronization|Coordinate-free|Controllability,,2392,6698374,data querying,"Castillo, Harper and Brown|Skinner LLC",1,7,,False,triennial,
6697283,Korra Sathya Babu|Rajesh Pillelli|Sanjay Kumar Jena,07-781444-2|489-20336-X|393-27263-8,C,Enhanced t-closeness for balancing utility and privacy.,2013,FullPaper,Dolorem aliquam labore tempora adipisci est. Amet numquam tempora adipisci ut porro labore dolore. Eius numquam velit porro dolor consectetur dolor. Adipisci tempora ut amet modi etincidunt ipsum. Porro etincidunt voluptatem sit velit etincidunt velit dolore. Labore numquam neque quisquam neque.,,Alan Harris,Operative multimedia project,R,,Hilbert J. Kappen,Najmeh Ghaderi,Sed eius est porro voluptatem.,Dolorem magnam modi eius etincidunt eius quiquia velit.,True,True,True,Stabilizability|Controllability|data modeling|Edge-Artificial|Controllability,,4920,6701474,big data,"Gutierrez Group|Nichols, Reese and Hahn|Diaz PLC",8,7,,True,annual,
6697285,Grzegorz Kolaczek|Jerzy Konorski|Krzysztof Cabaj|Pawel Szalachowski|Piotr Pacyna|Zbigniew Kotulski,681-65857-4|360-76181-0|10-248461-5|450-75702-4|945975-77-7|88275-807-0,C,Theory and implementation of a virtualisation level Future Internet defence in depth architecture.,2013,Poster,Ut non aliquam eius numquam velit. Neque etincidunt adipisci velit aliquam velit numquam. Sed est ipsum dolore quiquia velit eius magnam. Ipsum quiquia labore non tempora adipisci adipisci. Dolore magnam modi est labore aliquam. Sed labore dolorem adipisci neque sed adipisci. Consectetur dolore quiquia dolorem dolor. Quaerat porro sit ut dolore voluptatem quaerat tempora. Est non numquam neque sit. Labore dolor etincidunt ut est consectetur dolore.,,Steven Phillips,Inverse leadingedge leverage,S,,Héctor Ramírez Cabrera,Lele Wang 0012,Ut eius quaerat velit.,Ipsum dolore quiquia ipsum quaerat.,True,True,True,Output-feedback|Stabilizability|Delay-dependent|Representations|Edge-Artificial,,6252,6701990,data modeling,"Olson-Hinton|Vargas LLC|Diaz-Nguyen|Pineda, Baker and Perry|Sims Ltd|Sanchez, Cortez and Ferguson",6,3,,False,quadrennial,
