4;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;dblpnote/error;2017-06-08;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;informal;Unnamed: 27;Unnamed: 28;(error);Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34
5;;;;;;;;;;;;;;;;dblpnote/ellipsis;2017-06-08;;;;;;;;;informal;;;…;;;;;
6;;;;;;;;;;;;;;;;dblpnote/neverpublished;2017-06-08;;;;;;;;;informal;;;(was never published);;;;;
4038748;Clement T. Yu|Hai He|Weiyi Meng|Yiyao Lu|Zonghuan Wu;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0010-9;;;World Wide Web;conf/www/HeMLYW07;2017-05-23;;;;;2;133-155;;;;;;Towards Deeper Understanding of the Search Interfaces of the Deep Web.;;;db/journals/www/www10.html#HeMLYW07;;2007.0
4039839;Fatih Gelgi|Hasan Davulcu|Srinivas Vadrevu;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0021-1;;;World Wide Web;conf/www/VadrevuGD07;2017-05-23;;;;;2;157-179;;;;;;Information Extraction from Web Pages Using Presentation Regularities and Domain Knowledge.;;;db/journals/www/www10.html#VadrevuGD07;;2007.0
4041135;Daniel A. Menascé|Vasudeva Akula;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0011-8;;;World Wide Web;conf/www/MenasceA07;2017-05-23;;;;;2;181-204;;;;;;Improving the Performance of Online Auctions Through Server-side Activity-based Caching.;;;db/journals/www/www10.html#MenasceA07;;2007.0
4041687;Hongjian Fan|Kotagiri Ramamohanarao;;0000-0003-3304-9268;;;;;;;;;https://doi.org/10.1007/s11280-006-0012-7;;;World Wide Web;conf/www/RamamohanaraoF07;2017-06-05;;;;;1;71-83;;;;;;Patterns Based Classifiers.;;;db/journals/www/www10.html#RamamohanaraoF07;;2007.0
4042111;Bing Liu 0001|Yanhong Zhai;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0022-0|https://www.wikidata.org/entity/Q107903351;;;World Wide Web;conf/www/ZhaiL07;2022-03-16;;;;;2;113-132;;;;;;Extracting Web Data Using Instance-Based Learning.;;;db/journals/www/www10.html#ZhaiL07;;2007.0
4042327;Anne H. H. Ngu|Erich J. Neuhold|Masaru Kitsuregawa;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0023-z;;;World Wide Web;conf/www/NguKN07;2017-05-23;;;;;2;111-112;;;;;;Editorial.;;;db/journals/www/www10.html#NguKN07;;2007.0
4042615;Morgan Ericsson;;0000-0003-1173-5187;;;;;;;;;https://doi.org/10.1007/s11280-007-0032-y;;;World Wide Web;conf/www/Ericsson07;2017-06-05;;;;;3;279-307;;;;;;The Effects of XML Compression on SOAP Performance.;;;db/journals/www/www10.html#Ericsson07;;2007.0
4042664;David L. Martin 0001|Deborah L. McGuinness|Drew V. McDermott|Evren Sirin|Katia P. Sycara|Mark H. Burstein|Massimo Paolucci 0001|Naveen Srinivasan|Sheila A. McIlraith;;0000-0001-7037-4567;;;;;;;;;https://doi.org/10.1007/s11280-007-0033-x;;;World Wide Web;conf/www/MartinBMMPSMSS07;2022-01-03;;;;;3;243-277;;;;;;Bringing Semantics to Web Services with OWL-S.;;;db/journals/www/www10.html#MartinBMMPSMSS07;;2007.0
4043292;Anis Charfi|Mira Mezini;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0016-3;;;World Wide Web;conf/www/CharfiM07;2017-05-23;;;;;3;309-344;;;;;;AO4BPEL: An Aspect-oriented Extension to BPEL.;;;db/journals/www/www10.html#CharfiM07;;2007.0
4043399;Bart Verheecke|Davy Suvée|María Agustina Cibrán|Viviane Jonckers|Wim Vanderperren;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0017-2;;;World Wide Web;conf/www/CibranVVSJ07;2017-05-23;;;;;3;211-242;;;;;;Aspect-oriented Programming for Dynamic Web Service Selection, Integration and Management.;;;db/journals/www/www10.html#CibranVVSJ07;;2007.0
4044384;Andrzej Cichocki|Dimitrios Georgakopoulos|Donald Baker|Marian H. Nodine;;0000-0001-7880-2140;;;;;;;;;https://doi.org/10.1007/s11280-006-0015-4;;;World Wide Web;conf/www/GeorgakopoulosBNC07;2020-10-25;;;;;1;85-109;;;;;;Event-driven Video Awareness Providing Physical Security.;;;db/journals/www/www10.html#GeorgakopoulosBNC07;;2007.0
4045624;Istvan Beszteri|Petri Vuorimaa;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0008-3;;;World Wide Web;conf/www/BeszteriV07;2017-05-23;;;;;1;1-35;;;;;;Vertical Navigation of Layout Adapted Web Documents.;;;db/journals/www/www10.html#BeszteriV07;;2007.0
4045674;Jean-Philippe Martin-Flatin|Welf Löwe;;;;;;;;;;;https://doi.org/10.1007/s11280-007-0035-8;;;World Wide Web;conf/www/Martin-FlatinL07;2017-05-23;;;;;3;205-209;;;;;;Special Issue on Recent Advances in Web Services.;;;db/journals/www/www10.html#Martin-FlatinL07;;2007.0
4046409;Jeffrey Scott Vitter|Lipyeow Lim|Min Wang 0001|Ramesh C. Agarwal|Sriram Padmanabhan;;;;;;;;;;;https://doi.org/10.1007/s11280-006-0009-2;;;World Wide Web;conf/www/LimWPVA07;2018-02-22;;;;;1;37-69;;;;;;Efficient Update of Indexes for Dynamically Changing Web Documents.;;;db/journals/www/www10.html#LimWPVA07;;2007.0
5423533;Mohammad Arif Ul Alam|Nilavra Pathak|Nirmalya Roy;;;;;;;;;;;https://doi.org/10.4108/eai.22-7-2015.2260073;;;EAI Endorsed Trans. Ubiquitous Environ.;conf/mobiquitous/AlamPR15;2020-04-24;;;;;7;e2;;;;;;Mobeacon: An iBeacon-Assisted Smartphone-Based Real Time Activity Recognition Framework.;;;db/journals/ue/ue2.html#AlamPR15;2;2015.0
6154008;Emilio Coppa;;0000-0002-8094-871X;;;;;;;;;https://doi.org/10.4108/icst.valuetools.2014.258172;;;EAI Endorsed Trans. Ubiquitous Environ.;conf/valuetools/Coppa14;2022-04-09;;;;;7;e5;;;;;;An interactive visualization framework for performance analysis.;;;db/journals/ue/ue2.html#Coppa14;2;2015.0
6611625;Arnab Raha|Dieter Hogrefe|Mrinal Kanti Naskar|Omar Alfandi|Shaik Sahil Babu;;0000-0002-9581-401X;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.064142;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/BabuRAHN14;2020-12-29;;;;;2;103-124;;;;;;Trust integrated node potential aware routing for WSNs.;;;db/journals/ijtmcc/ijtmcc2.html#BabuRAHN14;2;2014.0
6611626;Anant V. Nimkar|Soumya K. Ghosh 0001;;0000-0002-3904-2924;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067369;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NimkarG14;2022-04-09;;;;;4;330-352;;;;;;An access control model for cloud-based EMR federation.;;;db/journals/ijtmcc/ijtmcc2.html#NimkarG14;2;2014.0
6611627;Jeril Kuriakose|Sandeep Joshi;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10002828;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KuriakoseJ16;2020-06-05;;;;;3;246-268;;;;;;Secured MPR node selection in the presence of cheating nodes.;;;db/journals/ijtmcc/ijtmcc3.html#KuriakoseJ16;3;2016.0
6611628;Julita Vassileva|Sabrina Nusrat;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.053262;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/NusratV13;2020-06-05;;;;;2;121-139;;;;;;Simulating a trust-based service recommender system for decentralised user modelling environment.;;;db/journals/ijtmcc/ijtmcc1.html#NusratV13;1;2013.0
6611629;Ashok Kumar Das|Jamuna Kanta Sing|Santanu Chatterjee;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.063273;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/DasCS14;2020-06-05;;;;;1;78-102;;;;;;Formal security analysis and verification of a password-based user authentication scheme for hierarchical wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc2.html#DasCS14;2;2014.0
6611630;Mulagala Sandhya|Munaga V. N. K. Prasad;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2016.10005484;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/SandhyaP16;2020-06-05;;;;;4;319-335;;;;;;A hybrid technique to secure fingerprint templates using Delaunay neighbour structures.;;;db/journals/ijtmcc/ijtmcc3.html#SandhyaP16;3;2016.0
6611631;Leila Kheroua|Louiza Mansour|Samira Moussaoui;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2013.052526;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/KherouaMM13;2020-06-05;;;;;1;73-84;;;;;;EDARD: efficient data access based on rumour dissemination in wireless sensor networks.;;;db/journals/ijtmcc/ijtmcc1.html#KherouaMM13;1;2013.0
6611632;Ajith Abraham|Mrutyunjaya Panda;;;;;;;;;;;https://doi.org/10.1504/IJTMCC.2014.067305;;;Int. J. Trust. Manag. Comput. Commun.;journals/ijtmcc/PandaA14;2020-06-05;;;;;3;229-258;;;;;;Development of a reliable trust management model in social internet of things.;;;db/journals/ijtmcc/ijtmcc2.html#PandaA14;2;2014.0
